cellchat,cellphone,icellnet,ramilowsky,ramilowski,consensus
A2M,NA,NA,NA,NA,Ligand,Ligand
ABCA1,NA,NA,NA,NA,Receptor,Receptor
ACKR1,Receptor,Receptor,Receptor,NA,NA,Receptor
ACKR2,Receptor,Receptor,Receptor,NA,Receptor,Receptor
ACKR3,Receptor,NA,Receptor,NA,Receptor,Receptor
ACKR4,Receptor,Receptor,Receptor,NA,Receptor,Receptor
ACVR1,Receptor,NA,Receptor,NA,Receptor,Receptor
ACVR1B,Receptor,NA,Receptor,NA,Receptor,Receptor
ACVR1C,Receptor,NA,Receptor,NA,Receptor,Receptor
ACVR2A,Receptor,Receptor,Receptor,NA,Receptor,Receptor
ACVR2B,Receptor,Receptor,Receptor,NA,Receptor,Receptor
ACVRL1,Receptor,NA,Receptor,NA,Receptor,Receptor
ADAM10,NA,NA,NA,NA,Receptor,Receptor
ADAM15,NA,NA,NA,NA,Receptor,Receptor
ADAM17,NA,NA,NA,NA,Receptor,Receptor
ADAM2,NA,NA,NA,NA,Receptor,Receptor
ADCY1,NA,NA,NA,NA,Receptor,Receptor
ADCY7,NA,NA,NA,NA,Receptor,Receptor
ADCY8,NA,NA,NA,NA,Receptor,Receptor
ADCY9,NA,NA,NA,NA,Receptor,Receptor
ADCYAP1,Ligand,NA,NA,NA,Ligand,Ligand
ADCYAP1R1,Receptor,NA,NA,NA,Receptor,Receptor
ADIPOQ,Ligand,NA,NA,NA,Ligand,Ligand
ADIPOR1,Receptor,NA,NA,NA,NA,Receptor
ADIPOR2,Receptor,NA,NA,NA,NA,Receptor
ADM,Ligand,NA,NA,NA,Ligand,Ligand
ADM2,NA,NA,NA,NA,Ligand,Ligand
ADORA1,Receptor,Receptor,NA,NA,Receptor,Receptor
ADORA2A,Receptor,Receptor,NA,NA,NA,Receptor
ADORA2B,Receptor,Receptor,NA,NA,Receptor,Receptor
ADORA3,NA,Receptor,NA,NA,NA,Receptor
ADRA2A,NA,NA,NA,NA,Receptor,Receptor
ADRA2B,NA,NA,NA,NA,Receptor,Receptor
ADRB2,NA,NA,NA,NA,Receptor,Receptor
ADRB3,NA,NA,NA,NA,Receptor,Receptor
AGR2,NA,NA,NA,NA,Ligand,Ligand
AGRN,Ligand,NA,NA,NA,NA,Ligand
AGRP,NA,NA,NA,NA,Ligand,Ligand
AGT,Ligand,NA,NA,NA,Ligand,Ligand
AGTR1,Receptor,NA,NA,NA,Receptor,Receptor
AGTR2,NA,NA,NA,NA,Receptor,Receptor
AHSG,NA,NA,NA,NA,Ligand,Ligand
ALB,NA,Ligand,NA,NA,Ligand,Ligand
ALCAM,NA,Ligand,NA,NA,NA,Ligand
ALK,Receptor,Receptor,NA,NA,Receptor,Receptor
AMELX,NA,NA,NA,NA,Ligand,Ligand
AMH,Ligand,Ligand,Ligand,NA,Ligand,Ligand
AMHR2,Receptor,NA,Receptor,NA,Receptor,Receptor
ANGPT1,Ligand,Ligand,NA,NA,Ligand,Ligand
ANGPT2,Ligand,Ligand,NA,NA,Ligand,Ligand
ANGPT4,NA,Ligand,NA,NA,Ligand,Ligand
ANGPTL1,Ligand,NA,NA,NA,Ligand,Ligand
ANGPTL2,Ligand,NA,NA,NA,Ligand,Ligand
ANGPTL3,Ligand,NA,NA,NA,Ligand,Ligand
ANGPTL4,Ligand,NA,NA,NA,Ligand,Ligand
ANGPTL7,Ligand,NA,NA,NA,NA,Ligand
ANXA1,Ligand,Ligand,NA,NA,NA,Ligand
APCDD1,NA,NA,NA,NA,Receptor,Receptor
APELA,Ligand,NA,NA,NA,NA,Ligand
APLN,Ligand,NA,NA,NA,Ligand,Ligand
APLNR,Receptor,NA,NA,NA,Receptor,Receptor
APLP2,NA,NA,NA,NA,Receptor,Receptor
APOB,NA,NA,NA,NA,Ligand,Ligand
APOC3,NA,NA,NA,NA,Ligand,Ligand
APOD,NA,NA,NA,NA,Ligand,Ligand
APOE,NA,NA,NA,NA,Ligand,Ligand
APP,Ligand,NA,NA,NA,NA,Ligand
AQP1,NA,NA,NA,NA,Receptor,Receptor
AREG,Ligand,Ligand,Ligand,NA,Receptor,Ligand
ART1,NA,NA,NA,NA,Receptor,Receptor
ARTN,Ligand,Ligand,NA,NA,Ligand,Ligand
ASIC3,NA,NA,NA,NA,Receptor,Receptor
ASIP,NA,NA,NA,NA,Ligand,Ligand
ATP1A3,NA,NA,NA,NA,Receptor,Receptor
ATP6AP2,NA,NA,NA,NA,Receptor,Receptor
AVP,Ligand,NA,NA,NA,Ligand,Ligand
AVPR1A,Receptor,NA,NA,NA,Receptor,Receptor
AVPR1B,Receptor,NA,NA,NA,Receptor,Receptor
AVPR2,Receptor,NA,NA,NA,Receptor,Receptor
AXL,Receptor,NA,NA,NA,NA,Receptor
AZGP1,NA,NA,NA,NA,Ligand,Ligand
B2M,NA,NA,NA,NA,Ligand,Ligand
BAG6,Ligand,NA,NA,NA,NA,Ligand
BAMBI,NA,NA,NA,NA,Receptor,Receptor
BCAM,NA,NA,NA,NA,Receptor,Receptor
