STRING_id	gene_symbol	ensembl_id	entrezgene	uniprot_id
9606.ENSP00000263100	A1BG	ENSG00000121410	1	P04217
9606.ENSP00000282641	A1CF	ENSG00000148584	29974	Q9NQ94
9606.ENSP00000323929	A2M	ENSG00000175899	2	P01023
9606.ENSP00000299698	A2ML1	ENSG00000166535	144568	A8K2U0
9606.ENSP00000249005	A4GALT	ENSG00000128274	53947	Q9NPC4
9606.ENSP00000236709	A4GNT	ENSG00000118017	51146	Q9UNA3
9606.ENSP00000209873	AAAS	ENSG00000094914	8086	Q9NRG9
9606.ENSP00000324842	AACS	ENSG00000081760	65985	Q86V21
9606.ENSP00000232892	AADAC	ENSG00000114771	13	P22760
9606.ENSP00000348911	AADACL2	ENSG00000197953	344752	Q6P093
9606.ENSP00000352268	AADACL3	ENSG00000188984	126767	Q5VUY0
9606.ENSP00000365395	AADACL4	ENSG00000204518	343066	Q5VUY2
9606.ENSP00000226840	AADAT	ENSG00000109576	51166	Q8N5Z0
9606.ENSP00000261880	AAGAB	ENSG00000103591	79719	Q6PD74
9606.ENSP00000386456	AAK1	ENSG00000115977	22848	Q2M2I8
9606.ENSP00000377078	AAMDC	ENSG00000087884	28971	Q9H7C9
9606.ENSP00000248450	AAMP	ENSG00000127837	14	Q13685
9606.ENSP00000250615	AANAT	ENSG00000129673	15	Q16613
9606.ENSP00000313674	AAR2	ENSG00000131043	25980	Q9Y312
9606.ENSP00000367528	AARD	ENSG00000205002	441376	Q4LEZ3
9606.ENSP00000244571	AARS2	ENSG00000124608	57505	Q5JTZ9
9606.ENSP00000205214	AASDH	ENSG00000157426	132949	Q4L235
9606.ENSP00000278618	AASDHPPT	ENSG00000149313	60496	Q9NRN7
9606.ENSP00000377040	AASS	ENSG00000008311	10157	Q9UDR5
9606.ENSP00000324196	AATK	ENSG00000181409	9625	Q6ZMQ8
9606.ENSP00000268251	ABAT	ENSG00000183044	18	P80404
9606.ENSP00000363868	ABCA1	ENSG00000165029	19	O95477
9606.ENSP00000269081	ABCA10	ENSG00000154263	10349	Q8WWZ4
9606.ENSP00000272895	ABCA12	ENSG00000144452	26154	Q86UK0
9606.ENSP00000411096	ABCA13	ENSG00000179869	154664	Q86UQ4
9606.ENSP00000344155	ABCA2	ENSG00000107331	20	Q9BZC7
9606.ENSP00000301732	ABCA3	ENSG00000167972	21	Q99758
9606.ENSP00000359245	ABCA4	ENSG00000198691	24	P78363
9606.ENSP00000376443	ABCA5	ENSG00000154265	23461	Q8WWZ7
