genes	list
VIP	Tumor-adjacent Normal
CYR61	Tumor-adjacent Normal
FOS	Tumor-adjacent Normal
EGR1	Tumor-adjacent Normal
ADAMTS1	Tumor-adjacent Normal
APOLD1	Tumor-adjacent Normal
SFRP2	Tumor-adjacent Normal
DYNC1H1	Tumor-adjacent Normal
KLF2	Tumor-adjacent Normal
SFRP1	Tumor-adjacent Normal
CD248	Tumor-adjacent Normal
CTGF	Tumor-adjacent Normal
MGP	Tumor-adjacent Normal
GREM1	Tumor-adjacent Normal
RSPO3	Tumor-adjacent Normal
TNXA	Tumor-adjacent Normal
FAM107A	Tumor-adjacent Normal
AEBP1	Tumor-adjacent Normal
TNXB	Tumor-adjacent Normal
OGN	Tumor-adjacent Normal
MFAP5	Tumor-adjacent Normal
CH25H	Tumor-adjacent Normal
TIMP3	Tumor-adjacent Normal
FBLN2	Tumor-adjacent Normal
NNMT	Tumor-adjacent Normal
C3	Tumor-adjacent Normal
FLRT2	Tumor-adjacent Normal
C8orf4	Tumor-adjacent Normal
PTGIS	Tumor-adjacent Normal
CDH5	Tumor-adjacent Normal
EFHD1	Tumor-adjacent Normal
SPTBN1	Tumor-adjacent Normal
MRC2	Tumor-adjacent Normal
RERGL	Tumor-adjacent Normal
IGFBP6	Tumor-adjacent Normal
GAL	Tumor-adjacent Normal
VWF	Tumor-adjacent Normal
C11orf96	Tumor-adjacent Normal
EBF1	Tumor-adjacent Normal
CILP	Tumor-adjacent Normal
COL6A3	Tumor-adjacent Normal
C1R	Tumor-adjacent Normal
SLIT3	Tumor-adjacent Normal
ADH1B	Tumor-adjacent Normal
TGFBR3	Tumor-adjacent Normal
DUSP1	Tumor-adjacent Normal
WISP2	Tumor-adjacent Normal
LYVE1	Tumor-adjacent Normal
CCDC80	Tumor-adjacent Normal
SIK1	Tumor-adjacent Normal
THBD	Tumor-adjacent Normal
HTRA1	Tumor-adjacent Normal
TSC22D3	Tumor-adjacent Normal
HEG1	Tumor-adjacent Normal
PCSK5	Tumor-adjacent Normal
JUN	Tumor-adjacent Normal
PDGFRA	Tumor-adjacent Normal
SEMA3G	Tumor-adjacent Normal
ROBO4	Tumor-adjacent Normal
CLEC3B	Tumor-adjacent Normal
ELN	Tumor-adjacent Normal
TMEM110-MUSTN1	Tumor-adjacent Normal
MUSTN1	Tumor-adjacent Normal
PECAM1	Tumor-adjacent Normal
ZFP36	Tumor-adjacent Normal
CLDN11	Tumor-adjacent Normal
CHRDL1	Tumor-adjacent Normal
C2orf40	Tumor-adjacent Normal
SRP19	Tumor-adjacent Normal
PDGFRB	Tumor-adjacent Normal
TEK	Tumor-adjacent Normal
RBMS3	Tumor-adjacent Normal
VEGFC	Tumor-adjacent Normal
UCHL1	Tumor-adjacent Normal
PCOLCE2	Tumor-adjacent Normal
SRPX	Tumor-adjacent Normal
CD93	Tumor-adjacent Normal
FBLN1	Tumor-adjacent Normal
S1PR1	Tumor-adjacent Normal
COL14A1	Tumor-adjacent Normal
GPR116	Tumor-adjacent Normal
IGF2	Tumor-adjacent Normal
APOD	Tumor-adjacent Normal
DUSP6	Tumor-adjacent Normal
NR4A1	Tumor-adjacent Normal
CCDC3	Tumor-adjacent Normal
SOX18	Tumor-adjacent Normal
RCAN2	Tumor-adjacent Normal
OLFM1	Tumor-adjacent Normal
CEBPD	Tumor-adjacent Normal
TMTC1	Tumor-adjacent Normal
GJA1	Tumor-adjacent Normal
SHANK3	Tumor-adjacent Normal
ECSCR	Tumor-adjacent Normal
RGS1	Tumor-adjacent Normal
TMEM100	Tumor-adjacent Normal
PMP22	Tumor-adjacent Normal
APCDD1	Tumor-adjacent Normal
CLU	Tumor-adjacent Normal
MMP2	Tumor-adjacent Normal
PCDHGC5	Tumor-adjacent Normal
PCDHGB4	Tumor-adjacent Normal
MMRN1	Tumor-adjacent Normal
CACHD1	Tumor-adjacent Normal
AIF1L	Tumor-adjacent Normal
PTPRM	Tumor-adjacent Normal
LDB2	Tumor-adjacent Normal
STEAP4	Tumor-adjacent Normal
PRRX1	Tumor-adjacent Normal
EFEMP1	Tumor-adjacent Normal
ACKR3	Tumor-adjacent Normal
FBN1	Tumor-adjacent Normal
GPR124	Tumor-adjacent Normal
LRRC32	Tumor-adjacent Normal
RGMA	Tumor-adjacent Normal
TFPI	Tumor-adjacent Normal
ARHGAP29	Tumor-adjacent Normal
ZFPM2	Tumor-adjacent Normal
FKBP10	Tumor-adjacent Normal
ZBTB20	Tumor-adjacent Normal
CALB2	Tumor-adjacent Normal
ABI3BP	Tumor-adjacent Normal
CLEC14A	Tumor-adjacent Normal
SERPING1	Tumor-adjacent Normal
SHISA3	Tumor-adjacent Normal
C7	Tumor-adjacent Normal
SOD3	Tumor-adjacent Normal
MAP1B	Tumor-adjacent Normal
BCAT1	Tumor-adjacent Normal
C1S	Tumor-adjacent Normal
L1CAM	Tumor-adjacent Normal
DPT	Tumor-adjacent Normal
CSRNP1	Tumor-adjacent Normal
TAC1	Tumor-adjacent Normal
FSTL1	Tumor-adjacent Normal
FZD4	Tumor-adjacent Normal
FN1	Tumor-adjacent Normal
HSPG2	Tumor-adjacent Normal
MALAT1	Tumor-adjacent Normal
USP13	Tumor-adjacent Normal
IGFBP5	Tumor-adjacent Normal
CLDN5	Tumor-adjacent Normal
SLMAP	Tumor-adjacent Normal
ANK2	Tumor-adjacent Normal
RELN	Tumor-adjacent Normal
TMEM158	Tumor-adjacent Normal
SASH1	Tumor-adjacent Normal
COL12A1	Tumor-adjacent Normal
CSRP2	Tumor-adjacent Normal
THBS2	Tumor-adjacent Normal
PXDN	Tumor-adjacent Normal
MXRA5	Tumor-adjacent Normal
LAMC1	Tumor-adjacent Normal
PRIMA1	Tumor-adjacent Normal
GAP43	Tumor-adjacent Normal
LTBP1	Tumor-adjacent Normal
TENC1	Tumor-adjacent Normal
THBS1	Tumor-adjacent Normal
KRT24	Tumor-adjacent Normal
C16orf89	Tumor-adjacent Normal
PDE2A	Tumor-adjacent Normal
PI16	Tumor-adjacent Normal
STAB1	Tumor-adjacent Normal
RGS2	Tumor-adjacent Normal
ANGPTL2	Tumor-adjacent Normal
ADAMTS5	Tumor-adjacent Normal
LRRN4CL	Tumor-adjacent Normal
BICC1	Tumor-adjacent Normal
COL8A1	Tumor-adjacent Normal
SCG2	Tumor-adjacent Normal
SPON2	Tumor-adjacent Normal
DCN	Tumor-adjacent Normal
ACTA2	Tumor-adjacent Normal
PPL	Tumor-adjacent Normal
GAS7	Tumor-adjacent Normal
FGD5	Tumor-adjacent Normal
NUAK1	Tumor-adjacent Normal
ARHGAP23	Tumor-adjacent Normal
ATF3	Tumor-adjacent Normal
CRISPLD2	Tumor-adjacent Normal
TPST1	Tumor-adjacent Normal
SERPINA3	Tumor-adjacent Normal
COL6A2	Tumor-adjacent Normal
NUMBL	Tumor-adjacent Normal
SDPR	Tumor-adjacent Normal
GRASP	Tumor-adjacent Normal
CFHR1	Tumor-adjacent Normal
C1QTNF3	Tumor-adjacent Normal
AHI1	Tumor-adjacent Normal
PER1	Tumor-adjacent Normal
MLLT11	Tumor-adjacent Normal
ECM2	Tumor-adjacent Normal
JUNB	Tumor-adjacent Normal
PODN	Tumor-adjacent Normal
TMEM47	Tumor-adjacent Normal
LDLR	Tumor-adjacent Normal
TWIST2	Tumor-adjacent Normal
SLITRK3	Tumor-adjacent Normal
THSD7A	Tumor-adjacent Normal
GREM2	Tumor-adjacent Normal
CFH	Tumor-adjacent Normal
TLN1	Tumor-adjacent Normal
HBEGF	Tumor-adjacent Normal
ERG	Tumor-adjacent Normal
SLC7A2	Tumor-adjacent Normal
GAS1	Tumor-adjacent Normal
FOXF1	Tumor-adjacent Normal
JAM2	Tumor-adjacent Normal
LHFP	Tumor-adjacent Normal
OLFML3	Tumor-adjacent Normal
