Gene	Gene.synonym	Ensembl	Gene.description	Uniprot	Protein.class	Evidence	HPA.evidence	UniProt.evidence
AADAT	KAT2, KATII, KYAT2	ENSG00000109576	Aminoadipate aminotransferase	Q8N5Z0	Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AAK1	DKFZp686K16132, KIAA1048	ENSG00000115977	AP2 associated kinase 1	Q2M2I8	Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABCA12	DKFZP434G232, ICR2B, LI2	ENSG00000144452	ATP binding cassette subfamily A member 12	Q86UK0	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ABCA7	ABCX	ENSG00000064687	ATP binding cassette subfamily A member 7	Q8IZY2	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABCB11	ABC16, BSEP, PFIC-2, PFIC2, PGY4, SPGP	ENSG00000073734	ATP binding cassette subfamily B member 11	O95342	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABCB4	GBD1, MDR2, MDR3, PFIC-3, PGY3	ENSG00000005471	ATP binding cassette subfamily B member 4	P21439	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABCB6	EST45597, MTABC3, umat	ENSG00000115657	ATP binding cassette subfamily B member 6 (Langereis blood group)	Q9NP58	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABCC1	GS-X, MRP, MRP1	ENSG00000103222	ATP binding cassette subfamily C member 1	P33527	Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABCC3	cMOAT2, EST90757, MLP2, MOAT-D, MRP3	ENSG00000108846	ATP binding cassette subfamily C member 3	O15438	Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABCC4	EST170205, MOAT-B, MOATB, MRP4	ENSG00000125257	ATP binding cassette subfamily C member 4	O15439	Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABCC5	EST277145, MOAT-C, MRP5, SMRP	ENSG00000114770	ATP binding cassette subfamily C member 5	O15440	Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ABCC6	ARA, EST349056, MLP1, MRP6, PXE, URG7	ENSG00000091262	ATP binding cassette subfamily C member 6	O95255	Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABCG2	ABCP, BCRP, CD338, EST157481, MXR	ENSG00000118777	ATP binding cassette subfamily G member 2 (Junior blood group)	Q9UNQ0	Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABHD3	LABH3	ENSG00000158201	Abhydrolase domain containing 3	Q8WU67	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ABI1	ABI-1, E3B1, SSH3BP1	ENSG00000136754	Abl interactor 1	Q8IZP0	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
