gen	list
SYT1	normal
ABI3BP	normal
COL14A1	normal
MFAP4	normal
ROBO4	normal
RSPO3	normal
PCDHA4	normal
GJC1	normal
RASL12	normal
NEGR1	normal
PCDH9	normal
PCSK5	normal
ROR2	normal
FRAS1	normal
OLFM1	normal
SLIT2	normal
PCDHGB4	normal
RGS5	normal
CD248	normal
RSPO2	normal
UCHL1	normal
PCDHGB2	normal
LOC644538	normal
FGF7	normal
LIFR	normal
SLC7A2	normal
GPR124	normal
CTSG	normal
LAYN	normal
PCDHGA6	normal
SERPINF1	normal
PCDHGA1	normal
PCDHA2	normal
KCNN3	normal
TMEM100	normal
ITGA5	normal
SYT11	normal
PCDHGA3	normal
FGFR1	normal
LDLR	normal
CXCR4	normal
TENC1	normal
GEM	normal
PCDHA8	normal
SLC2A14	normal
LRRC17	normal
GYPC	normal
GPR116	normal
DUOX2	normal
PRELP	normal
TMEM47	normal
GRASP	normal
ANGPTL1	normal
KGFLP2	normal
CD36	normal
WISP2	normal
C1S	normal
RERGL	normal
EMILIN1	normal
PENK	normal
PCDHGB7	normal
MMRN2	normal
PAMR1	normal
FBLN5	normal
CACHD1	normal
CPXM2	normal
PRIMA1	normal
GAS1	normal
TSPAN2	normal
SLITRK3	normal
SLC2A3	normal
MRC2	normal
APOD	normal
ITGA7	normal
PDGFRA	normal
GLDN	normal
TGFBR3	normal
VIP	normal
PLP1	normal
CILP	normal
KIAA0408	normal
POPDC2	normal
ANK2	normal
IGFBP6	normal
LRRN4CL	normal
EPHA3	normal
NLGN4X	normal
TLL1	normal
SSPN	normal
FZD7	normal
PCDHGA11	normal
FAT4	normal
L1CAM	normal
DCN	normal
TNFAIP2	normal
CADM1	normal
S1PR3	normal
CFH	normal
FLRT2	normal
PCDHGA9	normal
