gen	list
KCTD20	tumor
RAET1L	tumor
PPBP	tumor
CXCL1	tumor
ISLR	tumor
COMP	tumor
MXRA5	tumor
SFRP2	tumor
PCDHB16	tumor
ProSAPiP1	tumor
GPC4	tumor
KLK9	tumor
CLDN1	tumor
COL5A2	tumor
CLDN2	tumor
EPB41L2	tumor
SPRY4	tumor
SLC22A3	tumor
INPP5D	tumor
FAM57A	tumor
OLFML2B	tumor
INS-IGF2	tumor
COL9A3	tumor
NKD1	tumor
PAQR4	tumor
PTPRG	tumor
HTR1D	tumor
CTSK	tumor
ALS2	tumor
IL1A	tumor
OLR1	tumor
SLCO4A1	tumor
TIMP1	tumor
EDAR	tumor
PROCR	tumor
SLC38A5	tumor
STC1	tumor
CMTM3	tumor
INHBB	tumor
CDH13	tumor
ESM1	tumor
MIF	tumor
OXGR1	tumor
ANXA3	tumor
CXCL5	tumor
SEMA3F	tumor
C10orf35	tumor
IL1B	tumor
PLXND1	tumor
ENG	tumor
CD276	tumor
NMU	tumor
CXCL10	tumor
RHEB	tumor
MMP10	tumor
ELN	tumor
RAET1L	tumor
RBP4	tumor
ODAM	tumor
SPOCK1	tumor
SELE	tumor
ACCN2	tumor
HOMER1	tumor
TNC	tumor
FAM189B	tumor
FBN1	tumor
FGFRL1	tumor
GNA15	tumor
MFAP2	tumor
IFITM1	tumor
PCDHA1	tumor
SLC12A8	tumor
SLC39A13	tumor
SLC43A3	tumor
CD82	tumor
THEM4	tumor
RGS16	tumor
AMOT	tumor
FREM2	tumor
SERPINB5	tumor
ECM1	tumor
TNFRSF10B	tumor
LOC100509001	tumor
NKD2	tumor
GLA	tumor
NOTUM	tumor
C1QTNF5	tumor
PLK3	tumor
IGF2	tumor
CTGF	tumor
ADAMTS1	tumor
CDH3	tumor
FN1	tumor
PMEPA1	tumor
LGR5	tumor
LRP3	tumor
PODXL	tumor
SLC2A1	tumor
ITGBL1	tumor
EGFL6	tumor
ROBO2	tumor
ROBO1	tumor
