Gene	Gene.synonym	Ensembl	Gene.description	Uniprot	Protein.class	Evidence	HPA.evidence	UniProt.evidence
A1BG		ENSG00000121410	Alpha-1-B glycoprotein	P04217	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
A2M	CPAMD5, FWP007, S863-7	ENSG00000175899	Alpha-2-macroglobulin	P01023	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
A2ML1	CPAMD9, FLJ25179, p170	ENSG00000166535	Alpha-2-macroglobulin like 1	A8K2U0	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
AADACL2	MGC72001	ENSG00000197953	Arylacetamide deacetylase like 2	Q6P093	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
ABHD15		ENSG00000168792	Abhydrolase domain containing 15	Q6UXT9	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ABI3BP	DKFZP586L2024, NESHBP, TARSH	ENSG00000154175	ABI family member 3 binding protein	Q7Z7G0	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ABO	A3GALNT, A3GALT1	ENSG00000175164	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase		Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	
AC008687.1		ENSG00000267335			Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	
AC233755.1		ENSG00000275063	Immunoglobulin heavy variable 4-38-2 	P0DP08	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	No human protein/transcript evidence
ACAN	AGC1, CSPG1, CSPGCP, MSK16	ENSG00000157766	Aggrecan		Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	
ACE	ACE1, CD143, DCP1	ENSG00000159640	Angiotensin I converting enzyme	P12821	Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ACE2		ENSG00000130234	Angiotensin I converting enzyme 2	Q9BYF1	Enzymes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
